location_code,location_name,average_rating
K282,P.S. 282 Park Slope,7.529411764705882
K284,"The Gregory Jocko Jackson School of Sports, Art, a",5.666666666666667
K285,I.S. 285 Meyer Levin,7.75
K285,I.S. 285 Meyer Levin,7.75
K287,P.S. 287 Bailey K. Ashford,8.136363636363637
K288,P.S. 288 The Shirley Tanyhill,8.4
K289,P.S. 289 George V. Brower,8.0
K290,P.S. 290 Juan Morel Campos,8.1
K291,J.H.S. 291 Roland Hayes,8.0
K292,J.H.S. 292 Margaret S. Douglas,7.6
K292,J.H.S. 292 Margaret S. Douglas,7.6
K295,P.S. 295,7.2
K296,I.S. 296 - The Anna Gonzalez Community School,7.5
K297,P.S. 297 Abraham Stockton,7.0
K298,P.S. 298 Dr. Betty Shabazz,6.4
K299,P.S. 299 Thomas Warren Field,8.0
K301,Satellite East Middle School,7.0
K302,J.H.S. 302 Rafael Cordero,8.222222222222221
K303,I.S. 303 Herbert S. Eisenberg,7.25
K303,I.S. 303 Herbert S. Eisenberg,7.25
K304,P.S. 304 Casimir Pulaski,7.666666666666667
K305,P.S. 305 Dr. Peter Ray,
K306,P.S. 306 Ethan Allen,6.75
K307,P.S. 307 Daniel Hale Williams,8.272727272727273
K308,P.S. 308 Clara Cardwell,8.0
K309,P.S. 309 The George E. Wibecan Preparatory Academy,8.333333333333334
K310,The School For Future Leaders,8.0
K311,Essence School,6.0
K312,P.S. 312 Bergen Beach,
K313,Dock Street School for STEAM Studies,8.304347826086957
K315,P.S. K315,8.5
K315,P.S. K315,8.5
K316,P.S. 316 Elijah Stroud,7.166666666666667
K317,The Greenpoint Community Middle School At The John,7.142857142857143
K318,I.S. 318 Eugenio Maria De Hostos,7.0
K319,P.S. 319,7.0
K321,P.S. 321 William Penn,7.75
K322,Foundations Academy,7.0
K323,P.S./I.S. 323,5.666666666666667
K325,The Fresh Creek School,9.0
K326,P.S. 326,6.0
K327,P.S. 327 Dr. Rose B. English,5.666666666666667
K328,P.S. 328 Phyllis Wheatley,7.0
K329,P.S. 329 Surfside,8.25
K330,The School for the Urban Environment,7.0
K333,Explore Exceed Charter School,7.166666666666667
K334,Middle School for Academic and Social Excellence,8.0
K335,P.S. 335 Granville T. Woods,7.0
K336,Academy of Business and Community Development,7.0
K337,International High School at Lafayette,8.5
K338,School Of Integrated Academics And Performing Arts,7.333333333333333
K340,I.S. 340,7.714285714285714
K344,Rachel Carson High School for Coastal Studies,7.25
K344,Rachel Carson High School for Coastal Studies,7.25
K345,P.S. 345 Patrolman Robert Bolden,8.333333333333334
K346,P.S. 346 Abe Stark,7.0
K347,I.S. 347 School of Humanities,7.8
K348,High School of Sports Management,8.5
K349,"I.S. 349 Math, Science & Tech.",7.8
K350,Urban Assembly School of Music and Art,8.166666666666666
K351,The Urban Assembly Unison School,7.25
